image_id,box_id
MHR.7861.jpg,36
MHR.7861.jpg,35
MHR.7861.jpg,34
MHR.7861.jpg,33
MHR.7861.jpg,31
MHR.7861.jpg,30
MHR.7861.jpg,29
MHR.7861.jpg,28
MHR.7861.jpg,27
MHR.7861.jpg,26
MHR.7861.jpg,25
MHR.7861.jpg,23
MHR.7861.jpg,21
MHR.7861.jpg,16
MHR.7861.jpg,15
MHR.7861.jpg,14
MHR.7861.jpg,13
MHR.7861.jpg,12
MHR.7861.jpg,11
MHR.7861.jpg,9
MHR.7861.jpg,8
MHR.7861.jpg,7
MHR.7861.jpg,2
MHR.7866.jpg,7
MHR.7866.jpg,10
MHR.7866.jpg,11
MHR.7866.jpg,12
MHR.7866.jpg,13
MHR.7866.jpg,20
MHR.7866.jpg,22
MHR.7866.jpg,25
MHR.7866.jpg,26
MHR.7866.jpg,27
MHR.7866.jpg,28
MHR.7866.jpg,29
MHR.7866.jpg,30
MHR.7866.jpg,31
MHR.7866.jpg,32
MHR.7866.jpg,33
MHR.7866.jpg,41
MHR.7866.jpg,43
MHR.7866.jpg,44
MHR.7866.jpg,50
MHR.7866.jpg,51
MHR.7866.jpg,52
MHR.7866.jpg,53
MHR.7867.jpg,82
MHR.7867.jpg,68
MHR.7867.jpg,67
MHR.7867.jpg,66
MHR.7867.jpg,58
MHR.7867.jpg,55
MHR.7867.jpg,54
MHR.7867.jpg,52
MHR.7867.jpg,49
MHR.7867.jpg,46
MHR.7867.jpg,42
MHR.7867.jpg,41
MHR.7867.jpg,40
MHR.7867.jpg,39
MHR.7867.jpg,38
MHR.7867.jpg,36
MHR.7867.jpg,35
MHR.7867.jpg,33
MHR.7867.jpg,32
MHR.7867.jpg,31
MHR.7867.jpg,30
MHR.7867.jpg,28
MHR.7867.jpg,27
MHR.7867.jpg,23
MHR.7867.jpg,22
MHR.7867.jpg,21
MHR.7867.jpg,19
MHR.7867.jpg,17
MHR.7867.jpg,16
MHR.7867.jpg,15
MHR.7867.jpg,13
MHR.7867.jpg,9
MHR.7867.jpg,5
MHR.7867.jpg,4
MHR.7867.jpg,3
MHR.7889.jpg,2
MHR.7889.jpg,4
MHR.7889.jpg,8
MHR.7889.jpg,12
MHR.7889.jpg,13
MHR.7889.jpg,15
MHR.7889.jpg,16
MHR.7889.jpg,17
MHR.7889.jpg,18
MHR.7889.jpg,19
MHR.7889.jpg,23
MHR.7889.jpg,25
MHR.7889.jpg,26
MHR.7889.jpg,28
MHR.7889.jpg,31
MHR.7889.jpg,32
MHR.7889.jpg,33
MHR.7889.jpg,34
MHR.7889.jpg,35
MHR.7889.jpg,36
MHR.7889.jpg,38
MHR.7889.jpg,40
MHR.7889.jpg,41
MHR.7889.jpg,43
MHR.7889.jpg,53
MHR.7889.jpg,55
MHR.7889.jpg,57
MHR.7889.jpg,58
MHR.7889.jpg,60
